NOME_MUNICIPIO,2017,2018,2019,2020,2021,2022,2023,2024
Monte Alegre do Sul,10,6,9,3,1,6,8,3
Monte Alto,131,129,161,57,48,78,93,92
Monte Aprazível,49,65,64,27,38,33,27,36
Monte Azul Paulista,46,30,27,21,17,26,26,15
Monte Castelo,11,2,6,2,4,4,3,4
Monte Mor,215,209,175,110,116,151,213,171
Monteiro Lobato,4,4,3,4,3,3,7,9
Morro Agudo,97,79,77,36,15,58,110,86
Morungaba,17,40,21,8,9,16,9,12
Motuca,8,8,7,2,5,2,5,2
Murutinga do Sul,5,3,5,2,1,1,5,1
Nantes,0,0,1,0,9,0,5,2
Narandiba,10,4,6,1,7,10,7,5
Natividade da Serra,7,4,8,2,3,1,8,5
Nazaré Paulista,54,35,32,17,20,21,47,34
Neves Paulista,19,8,14,4,5,7,11,9
Nhandeara,22,12,22,11,9,14,13,16
Nipoã,19,18,15,6,9,6,6,8
Nova Aliança,9,16,13,3,12,8,7,2
Nova Campina,8,6,7,4,2,6,11,11
Nova Canaã Paulista,0,1,1,0,0,1,3,0
Nova Castilho,1,1,0,0,1,0,0,0
Nova Europa,24,24,18,10,17,11,9,15
Nova Granada,32,43,31,30,29,33,31,17
Nova Guataporanga,7,6,5,0,4,1,2,1
Nova Independência,7,3,8,7,2,3,8,6
Nova Luzitânia,8,7,2,3,2,1,1,2
Nova Odessa,204,177,191,81,73,118,189,174
Novais,5,9,5,5,2,1,2,4
Novo Horizonte,94,103,131,77,73,119,86,73
Nuporanga,20,16,14,9,10,11,7,7
Ocauçu,7,6,5,5,7,1,4,1
Óleo,0,2,3,2,1,1,1,2
Olímpia,265,214,172,77,57,104,135,127
Onda Verde,10,9,13,9,6,3,7,3
Oriente,5,7,5,4,6,5,5,5
Orindiúva,14,11,9,0,7,4,8,2
Orlândia,102,88,65,37,23,48,72,63
Osasco,5668,5019,3886,1735,1518,1628,6519,5083
Oscar Bressane,1,1,2,1,2,2,3,1
Osvaldo Cruz,63,74,55,34,34,49,34,33
Ourinhos,455,345,434,156,168,188,236,230
