NOME_MUNICIPIO,Total
PIEDADE,70
PILAR DO SUL,44
PINDAMONHANGABA,497
PINDORAMA,16
PINHALZINHO,15
PIQUEROBI,2
PIQUETE,24
PIRACAIA,49
PIRACICABA,1297
PIRAJU,33
PIRAJUI,19
PIRANGI,25
PIRAPORA BOM JESUS,30
PIRAPOZINHO,42
PIRASSUNUNGA,174
PIRATININGA,30
PITANGUEIRAS,73
PLANALTO,6
POA,883
POLONI,8
POMPEIA,17
PONGAI,4
PONTAL,62
PONTALINDA,1
PONTES GESTAL,3
POPULINA,1
PORANGABA,18
PORTO FELIZ,129
PORTO FERREIRA,146
POTIM,39
POTIRENDABA,27
PRADOPOLIS,36
PRAIA GRANDE,4120
PRATANIA,4
PRESIDENTE ALVES,2
PRESIDENTE BERNARDES,5
PRESIDENTE EPITACIO,90
PRESIDENTE PRUDENTE,634
PRESIDENTE VENCESLAU,38
PROMISSAO,69
QUADRA,7
QUATA,8
QUEIROZ,5
QUELUZ,33
QUINTANA,2
RAFARD,12
RANCHARIA,60
REDENCAO DA SERRA,6
REGENTE FEIJO,27
REGINOPOLIS,6
REGISTRO,149
RESTINGA,13
RIBEIRA,2
RIBEIRAO BONITO,13
RIBEIRAO BRANCO,17
RIBEIRAO DO SUL,3
RIBEIRAO GRANDE,5
RIBEIRAO PIRES,415
RIBEIRAO PRETO,4228
RIFAINA,20
RINCAO,6
RINOPOLIS,14
RIO CLARO,660
RIO DAS PEDRAS,56
RIO GRANDE DA SERRA,100
RIOLANDIA,13
RIVERSUL,7
ROSANA,17
ROSEIRA,21
RUBIACEA,4
RUBINEIA,4
S.ADELIA,27
S.ALBERTINA,2
S.ANASTACIO,13
S.ANDRE,7716
S.ANTONIO DA ALEGRIA,5
S.ANTONIO DE ARACANGUA,10
S.ANTONIO DE POSSE,42
S.ANTONIO DO JARDIM,18
S.ANTONIO DO PINHAL,16
S.BARBARA D OESTE,441
S.BENTO DO SAPUCAI,10
S.BERNARDO DO CAMPO,6624
S.BRANCA,24
S.CAETANO DO SUL,1194
S.CARLOS,1229
S.CLARA D OESTE,3
S.CRUZ DA CONCEICAO,10
S.CRUZ DA ESPERANCA,4
S.CRUZ DAS PALMEIRAS,42
S.CRUZ DO RIO PARDO,107
S.ERNESTINA,9
S.EXPEDITO,1
S.FE DO SUL,113
S.FRANCISCO,1
S.GERTRUDES,38
S.ISABEL,170
S.JOAO DA BOA VISTA,219
S.JOAO DE IRACEMA,1
S.JOAO DO PAU D ALHO,1
S.JOAO DUAS PONTES,2
S.JOAQUIM DA BARRA,106
S.JOSE DA BELA VISTA,14
S.JOSE DO BARREIRO,6
S.JOSE DO RIO PARDO,82
S.JOSE DO RIO PRETO,2211
S.JOSE DOS CAMPOS,2735
S.LOURENCO DA SERRA,60
S.LUCIA,6
S.LUIZ DO PARAITINGA,21
S.MANUEL,62
S.MARIA DA SERRA,5
S.MIGUEL ARCANJO,50
S.PAULO,215197
S.PEDRO,63
S.PEDRO DO TURVO,8
S.RITA PASSA QUATRO,38
S.ROQUE,235
S.ROSA DE VITERBO,37
S.SALETE,1
S.SEBASTIAO,405
S.SEBASTIAO DA GRAMA,11
S.SIMAO,28
S.VICENTE,2844
SABINO,18
SAGRES,1
SALES,10
SALES OLIVEIRA,16
SALESOPOLIS,28
SALMOURAO,6
SALTINHO,9
SALTO,265
SALTO DE PIRAPORA,86
SALTO GRANDE,21
SANDOVALINA,6
SANTANA DE PARNAIBA,357
SANTOPOLIS DO AGUAPEI,2
SANTOS,3215
SARAPUI,17
SARUTAIA,6
SEBASTIANOPOLIS DO SUL,6
SERRA AZUL,16
SERRA NEGRA,33
SERRANA,108
SERTAOZINHO,335
SETE BARRAS,18
SEVERINIA,17
SILVEIRAS,4
SOCORRO,58
SOROCABA,3194
SUD MENNUCCI,10
SUMARE,1524
SUZANO,2139
TABAPUA,12
TABATINGA,11
TABOAO DA SERRA,2154
TACIBA,3
TAGUAI,12
TAIACU,4
TAIUVA,13
TAMBAU,27
TANABI,44
TAPIRAI,11
TAPIRATIBA,21
TAQUARAL,5
TAQUARITINGA,110
TAQUARITUBA,57
TAQUARIVAI,9
TARABAI,8
TARUMA,12
TATUI,237
TAUBATE,1374
TEJUPA,4
TEODORO SAMPAIO,24
TERRA ROXA,5
TIETE,45
TIMBURI,3
TORRE DE PEDRA,1
TORRINHA,13
TRABIJU,2
TREMEMBE,85
TRES FRONTEIRAS,5
TUIUTI,15
TUPA,94
TUPI PAULISTA,16
TURIUBA,3
TURMALINA,1
UBARANA,7
UBATUBA,693
UBIRAJARA,8
UCHOA,13
URANIA,9
URU,3
URUPES,17
VALENTIM GENTIL,22
VALINHOS,376
VALPARAISO,57
VARGEM,21
VARGEM GRANDE DO SUL,73
VARGEM GRANDE PAULISTA,170
VARZEA PAULISTA,348
VERA CRUZ,21
VINHEDO,231
VIRADOURO,16
VISTA ALEGRE DO ALTO,11
VITORIA BRASIL,1
VOTORANTIM,260
VOTUPORANGA,236
ZACARIAS,4
