NM_MUN,ROUBOS
Taquaral,5
Taquaritinga,110
Taquarituba,57
Taquarivaí,9
Tarabai,8
Tarumã,12
Tatuí,237
Taubaté,1374
Tejupá,4
Teodoro Sampaio,24
Terra Roxa,5
Tietê,45
Timburi,3
Torre de Pedra,1
Torrinha,13
Trabiju,2
Tremembé,85
Três Fronteiras,5
Tuiuti,15
Tupã,94
Tupi Paulista,16
Turiúba,3
Turmalina,1
Ubarana,7
Ubatuba,693
Ubirajara,8
Uchoa,13
Uraniâ,9
Uru,3
Urupês,17
Valentim Gentil,22
Valinhos,376
Valparaíso,57
Vargem,21
Vargem Grande do Sul,73
Vargem Grande Paulista,170
Várzea Paulista,348
Vera Cruz,21
Vinhedo,231
Viradouro,16
Vista Alegre do Alto,11
Vitória Brasil,1
Votorantim,260
Votuporanga,236
Zacarias,4
